,Isolate,ETHIONAMIDE
179,site.02.subj.0085.lab.22A036.iso.1,0.7269245982170105
180,site.02.subj.0087.lab.22A039.iso.1,0.7309993505477905
181,site.02.subj.0089.lab.22A041.iso.1,0.7269245982170105
182,site.02.subj.0090.lab.22A042.iso.1,0.7256628274917603
183,site.02.subj.0091.lab.22A043.iso.1,0.7238836884498596
184,site.02.subj.0092.lab.22A044.iso.1,0.7269245982170105
185,site.02.subj.0093.lab.22A045.iso.1,0.7269245982170105
186,site.02.subj.0094.lab.22A046.iso.1,0.7269245982170105
187,site.02.subj.0095.lab.22A047.iso.1,0.7271745204925537
188,site.02.subj.0096.lab.22A048.iso.1,0.546574592590332
189,site.02.subj.0097.lab.22A049.iso.1,0.5441586375236511
190,site.02.subj.0098.lab.22A050.iso.1,0.546574592590332
191,site.02.subj.0099.lab.22A051.iso.1,0.7269245386123657
192,site.02.subj.0100.lab.22A052.iso.1,0.7269245982170105
193,site.02.subj.0101.lab.22A054.iso.1,0.7269245982170105
194,site.02.subj.0102.lab.22A055.iso.1,0.7269245982170105
195,site.02.subj.0103.lab.22A056.iso.1,0.5466941595077515
196,site.02.subj.0104.lab.22A057.iso.1,0.7273070216178894
197,site.02.subj.0105.lab.22A058.iso.1,0.7269245982170105
198,site.02.subj.0106.lab.22A060.iso.1,0.7278945446014404
199,site.02.subj.0107.lab.22A061.iso.1,0.7269250154495239
200,site.02.subj.0108.lab.22A062.iso.1,0.7269245982170105
201,site.02.subj.0109.lab.22A063.iso.1,0.7269245982170105
202,site.02.subj.0110.lab.22A064.iso.1,0.7269245982170105
203,site.02.subj.0111.lab.22A065.iso.1,0.7269245982170105
204,site.02.subj.0112.lab.22A066.iso.1,0.7269245982170105
205,site.02.subj.0113.lab.22A067.iso.1,0.7269245982170105
